Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2020 [YR2020]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.7,97.7
Afghanistan,AFG,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0.292788387305452,0.237958189733028
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.134400441562,58.7415482268525
Afghanistan,AFG,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,365000000,231000000
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,327,327
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.56967163,15.53361416
Afghanistan,AFG,Forcibly displaced people,SM.POP.FDIP,358464,3619445
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1.85278199408184,1.85278199408184
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.47831559181213,-1.61153948307037
Afghanistan,AFG,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,..,125.91256679301
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,36.2890774127896
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.17853752389419,5.60188791482224
Afghanistan,AFG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.4870927196315,6.59443908400367
Afghanistan,AFG,International migrant stock (% of population),SM.POP.TOTL.ZS,0.365657832373532,..
Afghanistan,AFG,"International tourism, number of arrivals",ST.INT.ARVL,..,..
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,16.7430582537576,19.8349761768377
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,6822959,9060510
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652230,652230
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,62.283,64.656
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.097,58.455
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.702,61.454
Afghanistan,AFG,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,19.6265587867041,..
Afghanistan,AFG,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,19.0830581632724,..
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,12.5225768432907,7.52811462924912
Afghanistan,AFG,Military expenditure (current LCU),MS.MIL.XPND.CN,13849666666.6667,21495833333.3333
Afghanistan,AFG,Military expenditure (current USD),MS.MIL.XPND.CD,298147102.825701,279576954.925193
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,232.873,221.302
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,291.206,344.792
Afghanistan,AFG,Net migration,SM.POP.NETM,-167460,143634
Afghanistan,AFG,Net official aid received (constant 2021 US$),DT.ODA.OATL.KD,..,..
Afghanistan,AFG,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,27931206.5193244,189227088.699124
Afghanistan,AFG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.245,0.254
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,4,5
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.93468670173474,3.15360920291972
Afghanistan,AFG,Population in largest city,EN.URB.LCTY,3289005,4221532
Afghanistan,AFG,Refugees under the mandate of the UNHCR by country or territory of asylum,SM.POP.RHCR.EA,6434,72278
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,76.263,73.974
Afghanistan,AFG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.061,1.052
Afghanistan,AFG,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,41.84,53.764
Afghanistan,AFG,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,3.59,3.49
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,9.16975191915408,..
Afghanistan,AFG,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,3.03014411721057,..
Afghanistan,AFG,"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,2.99896626467183,..
Afghanistan,AFG,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,4.55485875503042,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.753,11.71
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,11.71
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,9.99,16.053
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,..,16.2
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.737,26.026
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,3.81906849382784,4.20421701305538
Afghanistan,AFG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,10.0672023855202,15.6660446296555
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6,100
Albania,ALB,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0.0666425167042147,0.136466261169342
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.8430656934307,42.538503649635
Albania,ALB,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,..,1000000
Albania,ALB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1485,1485
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.23667669,7.50389433
Albania,ALB,Forcibly displaced people,SM.POP.FDIP,95,105
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.542700729927,28.7919708029197
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.279453217983246,-0.155121222138405
Albania,ALB,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,120.312673620568,114.439214357739
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,47.9226032986331,36.9799486187859
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.62604695579816,1.62088661717011
Albania,ALB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.08457542468858,2.12777201167065
Albania,ALB,International migrant stock (% of population),SM.POP.TOTL.ZS,1.8189568635262,..
Albania,ALB,"International tourism, number of arrivals",ST.INT.ARVL,2417000,2658000
Albania,ALB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,43.3310063907532,44.741529681699
Albania,ALB,"Labor force, total",SL.TLF.TOTL.IN,1259163,1352399
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400,27400
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,81.108,80.345
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.825,75.429
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.414,77.824
Albania,ALB,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,62.0026418896596,55.1793360971052
Albania,ALB,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,63.575091859884,61.5314824043475
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,5.96064021748117,7.06941394147026
Albania,ALB,Military expenditure (current LCU),MS.MIL.XPND.CN,19321000000,21348000000
Albania,ALB,Military expenditure (current USD),MS.MIL.XPND.CD,185893241.995074,196596308.984418
Albania,ALB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,52.225,51.494
Albania,ALB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,104.61,114.038
Albania,ALB,Net migration,SM.POP.NETM,-51907,-16680
Albania,ALB,Net official aid received (constant 2021 US$),DT.ODA.OATL.KD,..,..
Albania,ALB,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,-119707457.370851,-250229603.757881
Albania,ALB,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.249,1.883
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,6,6
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.49646196338738,-0.574206959244013
Albania,ALB,Population in largest city,EN.URB.LCTY,408697,493712
Albania,ALB,Refugees under the mandate of the UNHCR by country or territory of asylum,SM.POP.RHCR.EA,75,105
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,47.837,37.888
Albania,ALB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.112,1.078
Albania,ALB,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,29.72,26.236
Albania,ALB,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,6.77,3.36
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,16.8955446005948
Albania,ALB,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,..,51.90149985855
